SP: 33 
G: 34 43 
A: 52 61 
J: 70 
K: 69 68 67 
L: 76 
M: 77 68 59 
C: 50 41 
D: 32 
SP: 31 30 
F: 29 28 
N: 29 20 11 
O: 20 21 
P: 12 13 
Q: 14 15 6 7 
R: 8 17 18 
S: 27 
H: 26 35 
T: 44 53 
I: 52 51 
B: 50 49 48 
E
TIME: 11h 30m


//ãAíÖÉtÉäÅ[î≈
//timelimit=5s

SA start.
count=5000 T=951.229186692022 cost:79
count=10000 T=904.836965614765 cost:79
count=15000 T=860.707330890606 cost:79
count=20000 T=818.729934342929 cost:79
count=25000 T=778.799809565436 cost:79
count=30000 T=740.817109448833 cost:79
count=35000 T=704.686856508546 cost:79
count=40000 T=670.318705389178 cost:79
count=45000 T=637.62671695179 cost:79
count=50000 T=606.529143379159 cost:79
count=55000 T=576.948223761563 cost:79
count=60000 T=548.809989652115 cost:79
count=65000 T=522.04408010524 cost:79
count=70000 T=496.583565735888 cost:79
count=75000 T=472.364781359571 cost:79
count=80000 T=449.327166794619 cost:79
count=85000 T=427.413115428675 cost:79
count=90000 T=406.567830170722 cost:79
count=95000 T=386.739186428435 cost:79
count=100000 T=367.883119987461 cost:78
count=105000 T=349.941161023395 cost:78
count=110000 T=332.874245990343 cost:78
count=115000 T=316.639698284112 cost:78
count=120000 T=301.196922673201 cost:78
count=125000 T=286.507303788566 cost:78
count=130000 T=272.534109564121 cost:78
count=135000 T=259.242399386511 cost:78
count=140000 T=246.602635745558 cost:77
count=145000 T=234.575624636354 cost:77
count=150000 T=223.135180640612 cost:77
count=155000 T=212.252696403146 cost:77
count=160000 T=201.900959772752 cost:77
count=165000 T=192.054085756973 cost:77
count=170000 T=182.687451795485 cost:77
count=175000 T=173.777636190256 cost:77
count=180000 T=165.302359538519 cost:77
count=185000 T=157.240429022097 cost:77
count=190000 T=149.571685413795 cost:77
count=195000 T=142.276952668318 cost:77
count=200000 T=135.337989971703 cost:77
count=205000 T=128.737446129315 cost:77
count=210000 T=122.458816178396 cost:77
count=215000 T=116.486400116644 cost:77
count=220000 T=110.805263643636 cost:77
count=225000 T=105.401200816931 cost:77
count=230000 T=100.260698529452 cost:77
count=235000 T=95.3709027193438 cost:77
count=240000 T=90.7209470352068 cost:74
count=245000 T=86.2964126642292 cost:74
count=250000 T=82.0888977603434 cost:73
count=255000 T=78.0865267450608 cost:71
count=260000 T=74.278183327309 cost:71
count=265000 T=70.6555759153965 cost:71
count=270000 T=67.2096460132586 cost:71
count=275000 T=63.9317769150506 cost:71
count=280000 T=60.8137721586792 cost:71
count=285000 T=57.8478350301741 cost:71
count=290000 T=55.0265490676468 cost:71
count=295000 T=52.342859516086 cost:71
count=300000 T=49.7900556866211 cost:71
count=305000 T=47.3624646095518 cost:69
count=310000 T=45.0525586902733 cost:69
count=315000 T=42.8553087613432 cost:69
count=320000 T=40.7652204984878 cost:69
count=325000 T=38.7770675400973 cost:69
count=330000 T=36.8858784184682 cost:69
count=335000 T=35.0869241284203 cost:69
count=340000 T=33.3757063022016 cost:69
count=345000 T=31.7479459611151 cost:69
count=350000 T=30.1995728157336 cost:69
count=355000 T=28.7267150879566 cost:69
count=360000 T=27.3256898294503 cost:69
count=365000 T=25.9929937122664 cost:69
count=370000 T=24.72529426861 cost:69
count=375000 T=23.5194215578508 cost:69
count=380000 T=22.3723602399412 cost:69
count=385000 T=21.28124203542 cost:69
count=390000 T=20.2433385531486 cost:69
count=395000 T=19.2560544678428 cost:69
count=400000 T=18.3169210303433 cost:69
count=405000 T=17.4235898943955 cost:69
count=410000 T=16.5738272445011 cost:69
count=415000 T=15.7655082101609 cost:69
count=420000 T=14.9966115525377 cost:69
count=425000 T=14.2652146102565 cost:69
count=430000 T=13.5694884917014 cost:69
count=435000 T=12.9076935017878 cost:69
count=440000 T=12.2781747917756 cost:69
count=445000 T=11.6793582212431 cost:69
count=450000 T=11.1097464218778 cost:69
count=455000 T=10.5679150532374 cost:69
count=460000 T=10.0525092411213 cost:69
count=465000 T=9.56224018964585 cost:69
count=470000 T=9.09588195855052 cost:69
count=475000 T=8.65226839767863 cost:69
count=480000 T=8.23029023096483 cost:69
count=485000 T=7.82889228263997 cost:69
count=490000 T=7.44707083871505 cost:69
count=495000 T=7.08387113714875 cost:69
count=500000 T=6.73838498042107 cost:69
count=505000 T=6.40974846454364 cost:69
count=510000 T=6.09713981882826 cost:69
count=515000 T=5.79977735101151 cost:69
count=520000 T=5.51691749259746 cost:69
count=525000 T=5.24785293953045 cost:69
count=530000 T=4.99191088354885 cost:69
count=535000 T=4.74845132979722 cost:69
count=540000 T=4.51686549648965 cost:69
count=545000 T=4.29657429262305 cost:69
count=550000 T=4.08702686993366 cost:69
count=555000 T=3.88769924547543 cost:69
count=560000 T=3.69809299137677 cost:69
count=565000 T=3.51773398849877 cost:69
count=570000 T=3.34617124087857 cost:69
count=575000 T=3.18297574799314 cost:69
count=580000 T=3.02773943202394 cost:69
count=585000 T=2.88007411743947 cost:69
count=590000 T=2.73961056034469 cost:69
count=595000 T=2.60599752516955 cost:69
count=600000 T=2.47890090638843 cost:69
count=605000 T=2.35800289307397 cost:69
count=610000 T=2.24300117419617 cost:69
count=615000 T=2.13360818267987 cost:69
count=620000 T=2.02955037633002 cost:69
count=625000 T=1.93056755382689 cost:69
count=630000 T=1.83641220408075 cost:69
count=635000 T=1.74684888731903 cost:69
count=640000 T=1.66165364635834 cost:69
count=645000 T=1.58061344658926 cost:69
count=650000 T=1.50352564327358 cost:69
count=655000 T=1.43019747482171 cost:69
count=660000 T=1.36044558078363 cost:69
count=665000 T=1.29409554334756 cost:69
count=670000 T=1.23098145120027 cost:69
count=675000 T=1.17094548465819 cost:69
count=680000 T=1.11383752103211 cost:69
count=685000 T=1.05951475923842 cost:69
count=690000 T=1.00784136271855 cost:69
count=695000 T=0.958688119773344 cost:69
count=700000 T=0.911932120463297 cost:69
count=705000 T=0.867456449266629 cost:69
count=710000 T=0.825149892726647 cost:69
count=715000 T=0.784906661357375 cost:69
count=720000 T=0.746626125112122 cost:69
count=725000 T=0.710212561753415 cost:69
count=730000 T=0.675574917495157 cost:69
count=735000 T=0.642626579318445 cost:69
count=740000 T=0.611285158391758 cost:69
count=745000 T=0.581472284053891 cost:69
count=750000 T=0.553113407844535 cost:69
count=755000 T=0.526137617092407 cost:69
count=760000 T=0.500477457594887 cost:69
count=765000 T=0.476068764945673 cost:69
count=770000 T=0.452850504088746 cost:69
count=775000 T=0.43076461669741 cost:69
count=780000 T=0.409755875996776 cost:69
count=785000 T=0.389771748666689 cost:69
count=790000 T=0.37076226347974 cost:69
count=795000 T=0.352679886345925 cost:69
count=800000 T=0.335479401451469 cost:69
