SP: 33 
G: 34 25 16 7 
R: 8 17 18 
S: 27 
H: 26 35 
T: 34 43 
A: 44 53 
I: 62 71 70 
K: 61 
J: 52 51 
B: 50 41 
D: 32 
SP: 31 30 
F: 21 
P: 12 13 
Q: 12 11 
O: 20 29 28 
N: 29 38 47 48 
E: 49 50 59 
C: 68 67 
L: 76 
M
TIME: 11h 20m
T0=500, alpha=0.99999, beta=1.000005
timelimit: 20s



SP-G-T-I-A-D-C-B-J-K-L-M-SP-F-N-O-P-Q-R-S-H-E-
Time:790min
SA start.
count=50000 T=303.369216278572 cost:75
count=100000 T=184.043676149426 cost:75
count=150000 T=111.629527673805 cost:75
count=200000 T=67.760410048905 cost:75
count=250000 T=41.1171620686614 cost:75
count=300000 T=24.9391311727838 cost:75
count=350000 T=15.1263098668488 cost:75
count=400000 T=9.17950337210352 cost:74
count=450000 T=5.56780334894045 cost:71
count=500000 T=3.3770349957364 cost:71
count=550000 T=2.04903839038711 cost:71
count=600000 T=1.24280149967249 cost:71
count=650000 T=0.753806636029685 cost:69
count=700000 T=0.457205693224597 cost:69
count=750000 T=0.277312737129841 cost:68
count=800000 T=0.168198256899488 cost:68
count=850000 T=0.102017144675114 cost:68
count=900000 T=0.0618763713697838 cost:68
count=950000 T=0.0375298225223254 cost:68
count=1000000 T=0.0227629311056377 cost:68
count=1050000 T=0.0138063811043014 cost:68
count=1100000 T=0.00837397250435803 cost:68
count=1150000 T=0.00507905836974881 cost:68
count=1200000 T=0.00308059692217648 cost:68
count=1250000 T=0.00186847181230413 cost:68
count=1300000 T=0.00113328260774491 cost:68
count=1350000 T=0.000687368929282013 cost:68
count=1400000 T=0.000416909287862861 cost:68
count=1450000 T=0.000252867633234271 cost:68
count=1500000 T=0.000153371588973894 cost:68
count=1550000 T=9.3024338479035E-05 cost:68
count=1600000 T=5.64219723311019E-05 cost:68
count=1650000 T=3.42215705457462E-05 cost:68
count=1700000 T=2.07563798682006E-05 cost:68
count=1750000 T=1.25893493011121E-05 cost:68
count=1800000 T=7.6358072473044E-06 cost:68
count=1850000 T=4.63133962871587E-06 cost:68
count=1900000 T=2.80904245770294E-06 cost:68
count=1950000 T=1.70376611558624E-06 cost:68
count=2000000 T=1.03338380260494E-06 cost:68
count=2050000 T=6.26777392575864E-07 cost:68
count=2100000 T=3.80158755008462E-07 cost:68
count=2150000 T=2.30577364023367E-07 cost:68
count=2200000 T=1.39851891083715E-07 cost:68
count=2250000 T=8.4824247698959E-08 cost:68
count=2300000 T=5.14483782946296E-08 cost:68
count=2350000 T=3.12049408152879E-08 cost:68
count=2400000 T=1.89267060218938E-08 cost:68
count=2450000 T=1.14795987904483E-08 cost:68
count=2500000 T=6.96271122070692E-09 cost:68
count=2550000 T=4.22308727229172E-09 cost:68
count=2600000 T=2.5614255056785E-09 cost:68
count=2650000 T=1.55357921778869E-09 cost:68
count=2700000 T=9.42291072137023E-10 cost:68
count=2750000 T=5.71526996797092E-10 cost:68
